Atleta,Equipe Janela Análise,Posição,Liga,Participação,Defesa,Construção,Participação_percentil,Defesa_percentil,Construção_percentil
B. Pllana,Slaven Belupo,ZAGUEIRO,CZH,-2.25,-0.14,-3.68,3.0,50.0,1.0
J. Pëllumbi,Debrecen,ZAGUEIRO,CZH,-1.66,0.65,-0.92,9.0,72.0,32.0
O. Kričfaluši,Teplice,ZAGUEIRO,CZH,-1.46,0.74,4.7,11.0,76.0,99.0
J. Kolář,Zlín,ZAGUEIRO,CZH,-0.08,1.16,-0.94,44.0,83.0,30.0
M. Bernauer,Dinamo Zagreb,ZAGUEIRO,CZH,-0.06,-1.74,1.86,45.0,7.0,88.0
L. Havel,České Budějovice,ZAGUEIRO,CZH,0.81,0.97,2.91,76.0,81.0,93.0
M. Pavlović,Rudeš,ZAGUEIRO,CZH,-2.43,-1.94,-0.23,2.0,6.0,50.0
M. Živković,Dinamo Zagreb,ZAGUEIRO,CZH,1.08,-0.54,-1.24,84.0,33.0,23.0
M. Nikl,České Budějovice,ZAGUEIRO,CZH,-0.92,-0.5,-0.09,20.0,36.0,56.0
S. Radeljić,Rijeka,ZAGUEIRO,CZH,-0.7,0.13,1.2,28.0,59.0,81.0
A. Kadlec,Bohemians 1905,ZAGUEIRO,CZH,-0.65,-1.61,-0.89,30.0,10.0,35.0
F. Blažek,Baník Ostrava,ZAGUEIRO,CZH,3.28,4.04,0.75,100.0,100.0,73.0
J. Kalabiška,Slovácko,ZAGUEIRO,CZH,-0.38,1.54,-0.72,38.0,91.0,41.0
E. Dilaver,Rijeka,ZAGUEIRO,CZH,0.73,-2.82,1.51,72.0,1.0,84.0
D. Štěpánek,Jablonec,ZAGUEIRO,CZH,0.23,-0.17,0.77,54.0,49.0,74.0
F. Poulolo,České Budějovice,ZAGUEIRO,CZH,-0.55,-0.63,-1.6,32.0,30.0,14.0
L. Ba,Varaždin,ZAGUEIRO,CZH,-1.46,-1.24,-2.25,12.0,17.0,6.0
M. Leš,Gorica,ZAGUEIRO,CZH,0.17,0.68,-0.9,53.0,73.0,34.0
F. Souček,Jablonec,ZAGUEIRO,CZH,0.9,-0.53,0.2,80.0,34.0,60.0
J. Vondra,Bohemians 1905,ZAGUEIRO,CZH,0.07,-0.01,-1.34,50.0,53.0,18.0
F. Čihák,Hradec Králové,ZAGUEIRO,CZH,0.91,3.45,-0.34,82.0,99.0,48.0
T. Božić,Slaven Belupo,ZAGUEIRO,CZH,0.52,-1.01,-1.95,64.0,22.0,8.0
L. Vraštil,Sigma Olomouc,ZAGUEIRO,CZH,0.02,-0.4,0.61,48.0,41.0,65.0
V. Jemelka,Viktoria Plzeň,ZAGUEIRO,CZH,1.35,-0.35,4.41,94.0,44.0,98.0
J. Černín,Zlín,ZAGUEIRO,CZH,1.28,-0.11,-0.82,92.0,51.0,39.0
D. Simerský,Zlín,ZAGUEIRO,CZH,-0.48,-2.73,-1.1,33.0,2.0,26.0
T. Vlček,Slavia Praha,ZAGUEIRO,CZH,1.22,0.9,1.43,88.0,79.0,83.0
M. Kadlec,Slovácko,ZAGUEIRO,CZH,-1.04,-0.25,1.11,16.0,48.0,78.0
B. Kalaica,Lokomotiva Zagreb,ZAGUEIRO,CZH,1.11,0.4,-0.04,87.0,65.0,58.0
K. Theophile-Catherine,Dinamo Zagreb,ZAGUEIRO,CZH,1.28,-1.04,0.63,91.0,20.0,67.0
K. Pojezný,Baník Ostrava,ZAGUEIRO,CZH,1.35,0.13,3.14,95.0,58.0,96.0
P. Ortíz,Pardubice,ZAGUEIRO,CZH,-0.85,0.11,-0.97,24.0,55.0,29.0
M. Mitrović,Rijeka,ZAGUEIRO,CZH,-0.88,-1.63,0.71,23.0,9.0,70.0
M. Pourzitidis,Slovan Liberec,ZAGUEIRO,CZH,0.8,0.75,1.6,75.0,77.0,86.0
F. Prebsl,Slovan Liberec,ZAGUEIRO,CZH,0.48,0.2,-1.22,63.0,60.0,24.0
A. Křapka,Bohemians 1905,ZAGUEIRO,CZH,-0.44,-2.08,-1.65,35.0,5.0,12.0
F. Uremović,Hajduk Split,ZAGUEIRO,CZH,0.93,-0.54,0.63,83.0,32.0,66.0
A. Sørensen,Sparta Praha,ZAGUEIRO,CZH,1.56,-0.77,1.44,96.0,26.0,83.0
L. Hejda,Viktoria Plzeň,ZAGUEIRO,CZH,-0.37,-1.18,-0.67,39.0,17.0,43.0
D. Krčík,Karviná,ZAGUEIRO,CZH,-1.3,-0.11,1.58,14.0,52.0,85.0
M. Vitík,Sparta Praha,ZAGUEIRO,CZH,-1.09,-0.75,0.23,15.0,27.0,61.0
N. Mićević,Teplice,ZAGUEIRO,CZH,-1.03,1.23,0.41,17.0,85.0,62.0
V. Daníček,Slovácko,ZAGUEIRO,CZH,-1.81,0.57,1.12,7.0,69.0,79.0
N. Galešić,Rijeka,ZAGUEIRO,CZH,1.05,-1.6,-0.17,83.0,11.0,52.0
V. Beneš,Sigma Olomouc,ZAGUEIRO,CZH,0.44,0.31,-1.83,59.0,63.0,10.0
J. Pokorný,Sigma Olomouc,ZAGUEIRO,CZH,1.32,1.44,0.74,93.0,87.0,71.0
S. Bralić,Osijek,ZAGUEIRO,CZH,0.77,1.1,0.05,73.0,82.0,59.0
S. Hofmann,Slovácko,ZAGUEIRO,CZH,-1.02,-0.38,-0.63,17.0,42.0,44.0
L. Krejčí,Sparta Praha,ZAGUEIRO,CZH,2.29,-0.34,3.02,99.0,45.0,95.0
J. Knapík,Teplice,ZAGUEIRO,CZH,0.85,0.69,-1.99,78.0,74.0,7.0
H. Hurtado,Jablonec,ZAGUEIRO,CZH,1.98,3.13,1.0,98.0,97.0,76.0
T. Holeš,Slavia Praha,ZAGUEIRO,CZH,0.47,0.07,2.11,62.0,54.0,90.0
K. Krizmanić,Gorica,ZAGUEIRO,CZH,-0.46,-0.47,-1.21,34.0,37.0,25.0
Z. Šarlija,Hajduk Split,ZAGUEIRO,CZH,0.44,-1.47,-0.12,60.0,14.0,54.0
M. Boras,Slaven Belupo,ZAGUEIRO,CZH,1.24,1.47,0.74,89.0,89.0,72.0
L. Mareček,Teplice,ZAGUEIRO,CZH,-0.9,0.23,-0.33,21.0,61.0,49.0
D. Halinský,Pardubice,ZAGUEIRO,CZH,0.79,0.82,-0.14,74.0,78.0,53.0
F. Panák,Sparta Praha,ZAGUEIRO,CZH,-0.04,-0.93,-1.3,46.0,24.0,19.0
J. Mikula,Slovan Liberec,ZAGUEIRO,CZH,-0.23,-2.28,-1.44,41.0,4.0,17.0
J. Svozil,Karviná,ZAGUEIRO,CZH,0.12,-0.36,-0.97,51.0,43.0,28.0
J. Didiba,Zlín,ZAGUEIRO,CZH,0.9,0.43,2.01,81.0,66.0,89.0
S. Dweh,Viktoria Plzeň,ZAGUEIRO,CZH,-0.69,0.72,2.94,29.0,75.0,94.0
L. Jelenić,Varaždin,ZAGUEIRO,CZH,0.06,-0.78,-0.2,50.0,25.0,51.0
André Duarte,Osijek,ZAGUEIRO,CZH,1.59,-0.42,-0.07,97.0,38.0,57.0
I. Ogbu,Slavia Praha,ZAGUEIRO,CZH,1.09,0.62,-0.92,85.0,70.0,31.0
Š. Chaloupek,Teplice,ZAGUEIRO,CZH,0.82,3.22,-0.83,77.0,98.0,37.0
D. Lischka,Baník Ostrava,ZAGUEIRO,CZH,0.04,-0.52,0.44,49.0,35.0,63.0
D. Maresić,Istra 1961,ZAGUEIRO,CZH,-0.75,-0.31,4.73,27.0,46.0,100.0
A. Majstorović,Istra 1961,ZAGUEIRO,CZH,0.71,-1.13,-1.27,70.0,18.0,21.0
M. Hybš,Bohemians 1905,ZAGUEIRO,CZH,-0.85,1.18,0.66,25.0,84.0,69.0
M. Chaluš,Slovan Liberec,ZAGUEIRO,CZH,-1.35,-0.12,-1.46,13.0,50.0,17.0
M. Maloča,Gorica,ZAGUEIRO,CZH,-1.97,-1.29,-2.38,6.0,16.0,5.0
P. Kodeš,Hradec Králové,ZAGUEIRO,CZH,-0.15,0.52,-0.74,43.0,67.0,40.0
R. Hranáč,Viktoria Plzeň,ZAGUEIRO,CZH,-0.96,-0.71,-1.57,19.0,29.0,15.0
O. Karafiát,Mladá Boleslav,ZAGUEIRO,CZH,-0.42,0.54,2.18,36.0,68.0,91.0
J. Mersinaj,Lokomotiva Zagreb,ZAGUEIRO,CZH,0.37,1.44,-0.11,56.0,88.0,55.0
N. Tekijaški,Jablonec,ZAGUEIRO,CZH,0.55,1.25,0.65,66.0,86.0,68.0
M. Králik,České Budějovice,ZAGUEIRO,CZH,-0.42,-0.29,1.05,37.0,47.0,77.0
J. Klíma,Hradec Králové,ZAGUEIRO,CZH,-2.14,-0.42,-0.59,4.0,39.0,46.0
M. Suchý,Mladá Boleslav,ZAGUEIRO,CZH,-2.7,-1.46,-0.83,1.0,15.0,38.0
L. Hůlka,Bohemians 1905,ZAGUEIRO,CZH,0.69,1.53,-1.28,69.0,90.0,20.0
H. Heggheim,Brøndby,ZAGUEIRO,DEN,-1.81,0.54,0.12,7.0,70.0,58.0
M. Knoester,AGF,ZAGUEIRO,DEN,-0.45,0.62,-1.75,26.0,77.0,9.0
B. Hamalainen,Lyngby,ZAGUEIRO,DEN,-1.43,-1.92,0.23,14.0,7.0,63.0
J. Felix,Silkeborg,ZAGUEIRO,DEN,1.3,-1.69,2.79,93.0,16.0,95.0
L. Lissens,Lyngby,ZAGUEIRO,DEN,0.6,0.3,-1.02,74.0,56.0,23.0
J. Gomez,OB,ZAGUEIRO,DEN,0.47,-0.6,0.54,70.0,26.0,72.0
J. Vanlerberghe,Brøndby,ZAGUEIRO,DEN,-0.28,2.6,2.29,37.0,100.0,93.0
P. Rödin,Silkeborg,ZAGUEIRO,DEN,0.05,-0.38,0.62,49.0,33.0,74.0
S. McKenna,København,ZAGUEIRO,DEN,0.15,-0.47,-0.48,60.0,28.0,47.0
K. Tshiembe,Brøndby,ZAGUEIRO,DEN,-0.04,0.85,0.2,47.0,81.0,60.0
H. Andersson,Randers,ZAGUEIRO,DEN,0.39,-0.14,-2.88,65.0,44.0,2.0
D. Kolinger,Vejle,ZAGUEIRO,DEN,0.4,1.71,-1.39,67.0,95.0,19.0
L. Hey,Nordsjælland,ZAGUEIRO,DEN,1.65,0.21,0.26,100.0,49.0,65.0
T. Salquist,Chicago Fire,ZAGUEIRO,DEN,-1.87,0.24,0.87,2.0,51.0,77.0
F. Alves,Brøndby,ZAGUEIRO,DEN,1.12,1.33,-0.87,84.0,88.0,37.0
R. Lauritsen,Brøndby,ZAGUEIRO,DEN,0.57,0.76,-0.56,72.0,79.0,44.0
B. Paulsen,OB,ZAGUEIRO,DEN,0.62,1.5,-0.89,77.0,91.0,35.0
A. Busch,Silkeborg,ZAGUEIRO,DEN,1.22,1.55,-1.41,88.0,93.0,16.0
M. Kiilerich,Hvidovre,ZAGUEIRO,DEN,0.12,1.33,-1.56,58.0,86.0,12.0
M. Jensen,Lyngby,ZAGUEIRO,DEN,0.11,0.46,-2.0,56.0,63.0,7.0
T. Mølgaard,AGF,ZAGUEIRO,DEN,1.29,0.53,-0.37,91.0,67.0,51.0
J. Juninho,Midtjylland,ZAGUEIRO,DEN,-1.8,-0.74,-0.7,9.0,23.0,42.0
F. Helander,OB,ZAGUEIRO,DEN,-1.81,0.57,-2.55,5.0,74.0,5.0
D. Stenderup,Hvidovre,ZAGUEIRO,DEN,-0.29,0.5,-0.73,35.0,65.0,40.0
A. Bjelland,Lyngby,ZAGUEIRO,DEN,-0.52,-0.22,-1.0,23.0,40.0,26.0
S. Velkov,Vejle,ZAGUEIRO,DEN,1.12,0.88,-0.99,86.0,84.0,28.0
M. Bech,Midtjylland,ZAGUEIRO,DEN,-0.57,-1.94,-0.18,21.0,5.0,56.0
S. Ingason,Midtjylland,ZAGUEIRO,DEN,1.3,-0.27,-1.29,95.0,37.0,21.0
N. Bürgy,Viborg,ZAGUEIRO,DEN,-0.26,-1.88,2.2,42.0,12.0,91.0
Ž. Zaletel,Viborg,ZAGUEIRO,DEN,-0.36,0.39,-0.97,33.0,58.0,30.0
D. Vavro,København,ZAGUEIRO,DEN,-1.54,-0.43,2.14,12.0,30.0,86.0
D. Høegh,Randers,ZAGUEIRO,DEN,0.95,0.24,-0.24,79.0,53.0,53.0
W. Dammers,Randers,ZAGUEIRO,DEN,-0.26,-0.9,0.43,40.0,19.0,70.0
Matti Olsen,Hvidovre,ZAGUEIRO,DEN,1.07,1.84,-1.53,81.0,98.0,14.0
J. Rasmussen,Brøndby,ZAGUEIRO,DEN,0.08,-0.16,1.16,53.0,42.0,79.0
K. Hansen,Nordsjælland,ZAGUEIRO,DEN,0.23,-3.41,3.02,63.0,2.0,98.0
Raúl Albentosa,Vejle,ZAGUEIRO,DEN,-0.14,0.55,1.8,44.0,72.0,84.0
A. Nagalo,Nordsjælland,ZAGUEIRO,DEN,1.32,-1.89,4.11,98.0,9.0,100.0
P. Gregor,Lyngby,ZAGUEIRO,DEN,-1.2,-1.71,1.3,16.0,14.0,81.0
T. Slotsager,OB,ZAGUEIRO,DEN,-0.37,-0.28,-0.91,30.0,35.0,33.0
K. Diks,København,ZAGUEIRO,DEN,-0.82,-0.77,2.16,19.0,21.0,88.0
O. Provstgaard,Vejle,ZAGUEIRO,DEN,0.07,0.4,0.38,51.0,60.0,67.0
F. Tingager,AGF,ZAGUEIRO,DEN,-0.4,-0.08,-0.38,28.0,47.0,49.0
B. Caicedo,Libertad,ZAGUEIRO,ECU,0.32,-1.16,-1.44,58.0,15.0,17.0
C. Pérez,Técnico Universitario,ZAGUEIRO,ECU,0.31,-0.29,-0.08,56.0,50.0,58.0
A. Pucheta,Manta,ZAGUEIRO,ECU,-1.77,1.54,0.33,8.0,85.0,67.0
J. Narváez,ADT,ZAGUEIRO,ECU,1.5,2.88,1.87,96.0,98.0,92.0
R. Cabezas,El Nacional,ZAGUEIRO,ECU,1.31,3.58,-1.65,92.0,100.0,12.0
J. Rodríguez,Guayaquil City,ZAGUEIRO,ECU,0.72,1.22,-1.2,73.0,81.0,21.0
R. Luzárraga,Técnico Universitario,ZAGUEIRO,ECU,-0.74,-1.9,-1.61,27.0,4.0,15.0
G. Vallecilla,Universidad Católica,ZAGUEIRO,ECU,0.97,-0.74,0.57,79.0,27.0,73.0
O. Ndong,Gualaceo,ZAGUEIRO,ECU,0.18,-0.33,-1.92,52.0,48.0,6.0
R. Schunke,Independiente del Valle,ZAGUEIRO,ECU,1.15,0.7,2.9,90.0,77.0,98.0
R. Biojo,Deportivo Cuenca,ZAGUEIRO,ECU,0.48,0.46,-0.63,65.0,71.0,42.0
S. Mina,Deportivo Cuenca,ZAGUEIRO,ECU,0.65,-0.12,-0.94,69.0,58.0,31.0
R. Mina,LDU Quito,ZAGUEIRO,ECU,0.36,-0.54,-0.9,60.0,35.0,35.0
J. Marrufo,Macará,ZAGUEIRO,ECU,-0.62,-0.44,-1.01,31.0,44.0,27.0
N. Micolta,Pachuca,ZAGUEIRO,ECU,0.49,1.56,0.61,67.0,88.0,75.0
F. Rivero,Racing Córdoba,ZAGUEIRO,ECU,0.99,1.82,-0.04,83.0,90.0,60.0
K. Becerra,Los Chankas,ZAGUEIRO,ECU,0.93,1.98,1.51,77.0,96.0,90.0
P. Cifuentes,Cumbayá,ZAGUEIRO,ECU,-0.52,1.48,-1.87,33.0,83.0,8.0
C. Enciso,Libertad,ZAGUEIRO,ECU,-0.79,0.02,0.51,23.0,67.0,71.0
E. Guevara,Técnico Universitario,ZAGUEIRO,ECU,-1.44,-2.19,-1.2,17.0,2.0,23.0
D. Aimar,The Strongest,ZAGUEIRO,ECU,1.1,-0.53,-0.41,85.0,38.0,48.0
Ó. Quiñonez,Racing,ZAGUEIRO,ECU,0.82,0.0,1.39,75.0,65.0,83.0
T. Paredes,Unión Comercio,ZAGUEIRO,ECU,-1.96,-0.57,-0.74,6.0,31.0,38.0
E. Carcelén,Técnico Universitario,ZAGUEIRO,ECU,-1.63,-1.32,-2.29,10.0,10.0,2.0
J. Chalá,Barcelona,ZAGUEIRO,ECU,-2.03,0.32,-1.04,4.0,69.0,25.0
A. García Basso,Racing Club,ZAGUEIRO,ECU,0.22,-1.71,7.73,54.0,8.0,100.0
L. Caicedo,Always Ready,ZAGUEIRO,ECU,-0.03,-0.44,-0.41,44.0,46.0,46.0
C. Rodríguez,Barcelona,ZAGUEIRO,ECU,-0.12,-0.22,-1.26,40.0,56.0,19.0
L. Recalde,Banfield,ZAGUEIRO,ECU,-0.69,-0.07,-0.01,29.0,62.0,65.0
F. Guerra,Barcelona,ZAGUEIRO,ECU,-0.78,-0.89,0.74,25.0,25.0,77.0
A. Rangel,Barcelona,ZAGUEIRO,ECU,1.51,1.9,-1.01,98.0,94.0,29.0
M. Carabajal,Independiente del Valle,ZAGUEIRO,ECU,2.51,0.66,2.18,100.0,75.0,94.0
L. Cangá,Aucas,ZAGUEIRO,ECU,-0.45,-0.55,-0.92,35.0,33.0,33.0
G. Fratta,Deportivo Cuenca,ZAGUEIRO,ECU,0.46,-1.17,-0.66,62.0,12.0,40.0
M. Medranda,Técnico Universitario,ZAGUEIRO,ECU,-1.44,-0.11,-0.26,12.0,60.0,54.0
C. Rolón,Aucas,ZAGUEIRO,ECU,1.4,0.62,-1.92,94.0,73.0,4.0
F. Grillo,Universidad Católica,ZAGUEIRO,ECU,0.13,-0.28,1.4,50.0,52.0,85.0
J. Alvacete,Libertad,ZAGUEIRO,ECU,-2.73,-0.47,-0.18,2.0,42.0,56.0
D. Quintero,Mushuc Runa,ZAGUEIRO,ECU,-1.44,-0.48,-1.77,15.0,40.0,10.0
F. Rodríguez,LDU Quito,ZAGUEIRO,ECU,0.71,-1.03,-0.48,71.0,21.0,44.0
J. Parrales,Mushuc Runa,ZAGUEIRO,ECU,-0.07,1.84,1.44,42.0,92.0,88.0
R. Adé,LDU Quito,ZAGUEIRO,ECU,0.08,-1.12,-0.02,48.0,19.0,62.0
A. Leguizamón,Emelec,ZAGUEIRO,ECU,-0.96,-0.23,1.0,19.0,54.0,79.0
L. León,Emelec,ZAGUEIRO,ECU,0.02,-0.95,2.85,46.0,23.0,96.0
J. Ontaneda,Aucas,ZAGUEIRO,ECU,1.11,0.75,0.41,88.0,79.0,69.0
L. Sosa,Barcelona,ZAGUEIRO,ECU,-0.31,-0.6,1.15,38.0,29.0,81.0
G. Achilier,Orense,ZAGUEIRO,ECU,0.98,-1.13,-0.34,81.0,17.0,52.0
N. Goitea,Delfin,ZAGUEIRO,ECU,-0.87,-1.75,-0.39,21.0,6.0,50.0
S. Bueno,Wolverhampton Wanderers,ZAGUEIRO,ENG1,-2.04,-1.23,-0.24,3.0,14.0,43.0
J. Matip,Liverpool,ZAGUEIRO,ENG1,0.7,0.38,-0.35,75.0,64.0,41.0
G. Baldock,Sheffield United,ZAGUEIRO,ENG1,-0.3,-0.39,-2.36,36.0,38.0,4.0
T. Chalobah,Chelsea,ZAGUEIRO,ENG1,-0.23,-0.62,-0.23,42.0,29.0,45.0
A. Al Dakhil,Burnley,ZAGUEIRO,ENG1,-1.53,0.4,-0.69,9.0,65.0,35.0
J. Stones,Manchester City,ZAGUEIRO,ENG1,-0.82,-3.3,-0.94,23.0,1.0,29.0
J. Lascelles,Newcastle United,ZAGUEIRO,ENG1,-0.31,-0.52,-1.08,35.0,35.0,28.0
T. Lockyer,Luton Town,ZAGUEIRO,ENG1,-1.12,0.62,-0.25,13.0,72.0,42.0
M. Jørgensen,Brentford,ZAGUEIRO,ENG1,-0.24,0.23,-0.08,39.0,57.0,48.0
J. Quansah,Liverpool,ZAGUEIRO,ENG1,1.84,0.67,0.55,99.0,75.0,71.0
J. Beyer,Burnley,ZAGUEIRO,ENG1,0.11,1.35,-2.3,48.0,91.0,6.0
A. Webster,Brighton,ZAGUEIRO,ENG1,1.11,-0.18,0.63,87.0,45.0,74.0
B. Davies,Tottenham Hotspur,ZAGUEIRO,ENG1,0.5,0.33,0.14,70.0,62.0,55.0
C. Lenglet,Aston Villa,ZAGUEIRO,ENG1,1.2,-0.47,1.59,88.0,36.0,86.0
M. Estève,Burnley,ZAGUEIRO,ENG1,0.75,1.41,-1.57,77.0,93.0,22.0
N. Clyne,Crystal Palace,ZAGUEIRO,ENG1,-0.83,-0.6,-2.0,22.0,30.0,10.0
B. Mee,Brentford,ZAGUEIRO,ENG1,0.2,0.83,-0.77,51.0,80.0,32.0
B. Badiashile,Chelsea,ZAGUEIRO,ENG1,-0.14,-0.55,1.02,43.0,33.0,78.0
R. Varane,Manchester United,ZAGUEIRO,ENG1,-0.56,0.23,-0.02,29.0,58.0,51.0
J. Evans,Manchester United,ZAGUEIRO,ENG1,-0.58,0.76,-1.34,28.0,78.0,25.0
S. Botman,Newcastle United,ZAGUEIRO,ENG1,0.39,0.75,-1.41,59.0,77.0,23.0
K. Mavropanos,West Ham United,ZAGUEIRO,ENG1,-1.0,0.42,-0.94,16.0,68.0,30.0
W. Boly,Nottingham Forest,ZAGUEIRO,ENG1,0.81,1.22,0.18,80.0,88.0,57.0
T. Ream,Fulham,ZAGUEIRO,ENG1,0.34,0.3,0.31,57.0,61.0,62.0
I. Diop,Fulham,ZAGUEIRO,ENG1,-1.55,-0.59,0.46,7.0,32.0,67.0
M. Niakhaté,Nottingham Forest,ZAGUEIRO,ENG1,-0.1,0.03,-1.3,45.0,51.0,26.0
I. Konaté,Liverpool,ZAGUEIRO,ENG1,1.54,0.87,5.7,96.0,81.0,100.0
R. Burke,Luton Town,ZAGUEIRO,ENG1,-0.42,1.05,-0.36,32.0,86.0,36.0
A. Bell,Luton Town,ZAGUEIRO,ENG1,0.15,1.15,-0.02,49.0,87.0,52.0
T. Adarabioyo,Fulham,ZAGUEIRO,ENG1,-0.89,-0.93,0.54,19.0,19.0,70.0
H. Maguire,Manchester United,ZAGUEIRO,ENG1,0.43,1.04,0.39,64.0,84.0,64.0
G. Osho,Luton Town,ZAGUEIRO,ENG1,1.25,3.39,-2.25,91.0,100.0,7.0
K. Ajer,Brentford,ZAGUEIRO,ENG1,2.01,3.1,-1.69,100.0,99.0,17.0
Diego Carlos,Aston Villa,ZAGUEIRO,ENG1,0.51,-1.68,1.57,72.0,7.0,83.0
N. Aguerd,West Ham United,ZAGUEIRO,ENG1,0.5,0.02,0.47,68.0,49.0,68.0
N. Aké,Manchester City,ZAGUEIRO,ENG1,1.69,-1.28,1.21,97.0,13.0,81.0
M. Guéhi,Crystal Palace,ZAGUEIRO,ENG1,-0.54,-0.67,-0.03,30.0,26.0,49.0
C. Richards,Crystal Palace,ZAGUEIRO,ENG1,-1.22,0.65,-2.0,12.0,74.0,12.0
C. Dawson,Wolverhampton Wanderers,ZAGUEIRO,ENG1,0.87,0.11,-1.89,81.0,54.0,13.0
M. van de Ven,Tottenham Hotspur,ZAGUEIRO,ENG1,0.29,-1.32,-0.1,55.0,12.0,46.0
C. Bassey,Fulham,ZAGUEIRO,ENG1,-0.88,-0.84,-0.71,20.0,25.0,33.0
M. Senesi,Bournemouth,ZAGUEIRO,ENG1,1.0,2.09,4.85,84.0,94.0,99.0
J. van Hecke,Brighton,ZAGUEIRO,ENG1,1.21,0.41,2.24,90.0,67.0,96.0
T. Mengi,Luton Town,ZAGUEIRO,ENG1,-0.67,0.97,-1.64,26.0,83.0,20.0
M. Akanji,Manchester City,ZAGUEIRO,ENG1,0.42,-1.14,0.59,62.0,16.0,72.0
Pau Torres,Aston Villa,ZAGUEIRO,ENG1,-0.8,-2.12,0.26,25.0,6.0,61.0
Rúben Dias,Manchester City,ZAGUEIRO,ENG1,1.38,-1.36,1.84,94.0,10.0,90.0
A. Trusty,Sheffield United,ZAGUEIRO,ENG1,-0.24,0.52,-2.12,41.0,70.0,9.0
A. Disasi,Chelsea,ZAGUEIRO,ENG1,0.5,-0.86,0.88,71.0,23.0,77.0
E. Pinnock,Brentford,ZAGUEIRO,ENG1,0.92,1.22,-1.65,83.0,90.0,19.0
Thiago Silva,Chelsea,ZAGUEIRO,ENG1,-0.38,-0.27,1.96,33.0,42.0,93.0
A. Ahmedhodžić,Sheffield United,ZAGUEIRO,ENG1,-1.81,-0.23,-1.82,6.0,43.0,16.0
N. Collins,Brentford,ZAGUEIRO,ENG1,0.4,-0.1,-0.36,61.0,46.0,38.0
C. Romero,Tottenham Hotspur,ZAGUEIRO,ENG1,0.57,0.24,2.36,74.0,59.0,97.0
Murillo,Nottingham Forest,ZAGUEIRO,ENG1,-0.95,-0.3,1.19,17.0,41.0,80.0
Toti,Wolverhampton Wanderers,ZAGUEIRO,ENG1,-2.01,-2.15,0.24,4.0,4.0,59.0
K. Zouma,West Ham United,ZAGUEIRO,ENG1,-3.59,-2.93,-2.42,1.0,3.0,3.0
L. Dunk,Brighton,ZAGUEIRO,ENG1,1.05,-0.87,1.84,86.0,22.0,91.0
D. O'Shea,Burnley,ZAGUEIRO,ENG1,0.45,-0.05,0.82,65.0,48.0,75.0
J. Robinson,Sheffield United,ZAGUEIRO,ENG1,-1.41,-0.65,-2.44,10.0,28.0,1.0
J. Branthwaite,Everton,ZAGUEIRO,ENG1,-0.3,2.16,-1.88,38.0,97.0,14.0
Gabriel Magalhaes,Arsenal,ZAGUEIRO,ENG1,0.23,-1.05,0.2,52.0,17.0,58.0
F. Schär,Newcastle United,ZAGUEIRO,ENG1,0.38,0.21,1.79,58.0,55.0,87.0
V. van Dijk,Liverpool,ZAGUEIRO,ENG1,0.79,-0.89,1.58,78.0,20.0,84.0
W. Saliba,Arsenal,ZAGUEIRO,ENG1,0.27,-1.41,-0.01,54.0,9.0,54.0
I. Zabarnyi,Bournemouth,ZAGUEIRO,ENG1,0.49,0.6,-0.36,67.0,71.0,39.0
J. Andersen,Crystal Palace,ZAGUEIRO,ENG1,-1.01,-0.36,1.82,14.0,39.0,88.0
J. Tarkowski,Everton,ZAGUEIRO,ENG1,1.32,2.1,1.99,93.0,96.0,94.0
M. Kilman,Wolverhampton Wanderers,ZAGUEIRO,ENG1,-0.09,0.08,0.41,46.0,52.0,65.0
M. Roberts,Birmingham City,ZAGUEIRO,ENG2,-0.15,-0.43,0.13,42.0,34.0,64.0
G. Edmundson,Ipswich Town,ZAGUEIRO,ENG2,-1.09,-1.16,2.71,16.0,15.0,91.0
K. Naismith,Bristol City,ZAGUEIRO,ENG2,0.96,1.4,0.09,84.0,94.0,62.0
T. Blackett,Rotherham United,ZAGUEIRO,ENG2,-1.0,0.19,-0.1,19.0,58.0,58.0
M. Pollock,Watford,ZAGUEIRO,ENG2,-0.35,0.08,1.78,32.0,53.0,87.0
M. Fox,Queens Park Rangers,ZAGUEIRO,ENG2,-0.89,-0.87,-0.26,20.0,25.0,47.0
S. McLoughlin,Hull City,ZAGUEIRO,ENG2,1.37,-0.02,5.0,94.0,48.0,99.0
H. Roberts,Bristol City,ZAGUEIRO,ENG2,0.26,-0.94,2.23,56.0,21.0,88.0
J. Whatmough,Preston North End,ZAGUEIRO,ENG2,0.03,2.07,-0.83,46.0,96.0,33.0
S. Ajayi,West Bromwich Albion,ZAGUEIRO,ENG2,1.23,-1.14,0.02,89.0,16.0,61.0
L. Binks,Coventry City,ZAGUEIRO,ENG2,1.46,1.02,0.38,95.0,85.0,67.0
A. Phillips,Plymouth Argyle,ZAGUEIRO,ENG2,-2.09,-0.67,-1.15,5.0,27.0,27.0
K. Long,Toronto,ZAGUEIRO,ENG2,-0.23,0.06,-2.94,38.0,52.0,1.0
J. Tanganga,Millwall,ZAGUEIRO,ENG2,0.78,1.12,-1.6,78.0,91.0,16.0
N. Phillips,Cardiff City,ZAGUEIRO,ENG2,-1.86,-0.94,0.41,8.0,22.0,69.0
E. Pieters,West Bromwich Albion,ZAGUEIRO,ENG2,-0.55,-1.09,0.66,27.0,18.0,72.0
