Atleta,Equipe Janela Análise,Posição,Liga,Participação,Recomposição,Retenção Posse,Arranque,Bola aérea,Último passe,Finalização,Drible,Oportunismo,Participação_percentil,Recomposição_percentil,Retenção_posse_percentil,Arranque_percentil,Bola_aérea_percentil,ùltimo_passe_percentil,Finalização_percentil,Drible_percentil,Oportunismo_percentil
G. Paiva,Olimpia,ATACANTE,PAR,0.9,1.22,2.16,2.62,-0.85,-0.32,-1.16,0.07,-0.16,83,83,98,95,40,55,21,62,50
A. Oviedo,Cerro Porteño,ATACANTE,PAR,-1.5,-0.63,-1.31,-1.43,0.03,2.03,2.57,-0.29,0.33,14,33,17,10,50,90,95,45,62
J. Núñez,Nacional Asunción,ATACANTE,PAR,0.24,0.72,-0.71,-0.87,-1.84,-2.55,-0.91,0.84,-1.36,62,64,36,26,14,5,29,83,17
A. Pereira,Guaraní,ATACANTE,PAR,-1.24,-0.59,-0.92,-0.59,-1.14,1.11,-0.9,-0.53,-0.22,19,36,24,38,36,74,31,33,48
F. Santander,Guaraní,ATACANTE,PAR,0.81,0.65,1.49,-0.67,0.07,-0.57,-1.42,-0.75,-0.05,81,62,88,36,52,40,17,21,52
R. Torales,Sportivo Ameliano,ATACANTE,PAR,-0.07,-1.38,0.09,-0.96,2.32,-0.41,-1.21,-0.13,-0.83,43,21,62,21,98,50,19,52,31
F. Bruera,Olimpia,ATACANTE,PAR,-2.0,-2.05,-1.5,-1.66,1.26,1.85,0.54,0.01,1.76,5,12,10,5,71,88,69,57,93
I. Valdez,Independiente Rivadavia,ATACANTE,PAR,1.62,1.65,-0.08,1.1,-1.98,-1.82,-0.31,1.98,1.64,88,88,57,83,12,14,43,98,86
N. Da Silva,Resistencia,ATACANTE,PAR,-0.74,-1.48,-1.42,-0.86,-1.58,-1.26,-1.66,0.16,-0.55,29,19,12,29,24,26,12,69,38
L. Barrios,Sportivo Luqueño,ATACANTE,PAR,-0.03,-0.15,1.08,0.75,0.19,-1.48,0.86,-0.35,1.52,45,52,81,79,57,17,79,43,83
O. Giménez,Sportivo Trinidense,ATACANTE,PAR,0.35,-1.31,0.48,-0.04,2.11,1.38,2.51,0.26,1.78,67,24,69,64,95,83,93,74,95
S. Bareiro,Sportivo Ameliano,ATACANTE,PAR,-0.38,-0.52,-0.15,-1.07,1.59,-0.97,-0.56,-0.7,-0.7,36,38,50,17,76,33,36,24,33
J. Verdún,Guaireña,ATACANTE,PAR,-0.82,0.8,-0.9,-0.46,-1.09,-1.39,0.23,-0.41,0.51,26,67,26,45,38,21,55,36,64
F. Barceló,Guaraní,ATACANTE,PAR,-1.04,0.03,-0.79,-0.72,-1.53,0.61,0.33,-0.6,-0.45,24,55,31,33,26,67,62,29,43
P. Charpentier,Sportivo Luqueño,ATACANTE,PAR,0.1,1.91,-0.66,-0.31,0.12,1.0,0.69,-0.57,-0.32,55,93,40,50,55,69,74,31,45
N. Camacho,Guaraní,ATACANTE,PAR,2.01,-2.34,1.62,1.69,-1.68,4.07,-0.15,1.02,0.53,95,7,90,93,17,100,45,88,67
M. Pérez,Sportivo Luqueño,ATACANTE,PAR,-0.57,-0.73,-0.68,1.0,-1.61,-0.61,-0.06,0.02,1.15,31,31,38,81,19,36,48,60,76
Diego Martínez,General Caballero JLM,ATACANTE,PAR,0.0,1.11,0.02,-0.38,2.1,-1.9,-1.96,-0.36,-1.28,50,81,60,48,93,10,10,40,19
O. Cardozo,Libertad,ATACANTE,PAR,-1.95,-3.2,-0.84,-0.77,0.25,2.47,3.35,-1.16,4.42,7,2,29,31,60,95,100,12,100
A. Álvarez,Sportivo Trinidense,ATACANTE,PAR,1.9,0.93,1.88,3.97,-0.02,1.44,0.47,1.24,-1.57,93,76,95,100,48,86,64,90,14
C. González,General Caballero JLM,ATACANTE,PAR,0.12,-0.34,0.98,0.13,3.97,0.37,-1.13,-1.26,-2.07,57,48,74,67,100,60,24,7,12
J. Sanguina,General Caballero JLM,ATACANTE,PAR,0.37,1.01,0.11,0.17,2.09,-1.92,-0.37,-0.05,-0.46,69,79,64,69,90,7,38,55,40
D. Churín,Cerro Porteño,ATACANTE,PAR,1.75,1.71,1.42,-0.1,1.9,0.53,0.32,0.23,-0.97,90,90,86,55,83,62,57,71,24
G. Aguilar,Nacional Asunción,ATACANTE,PAR,0.09,0.28,1.04,1.44,0.97,-1.07,0.73,-0.66,1.3,52,57,79,88,67,31,76,26,79
Rafael Martins,Santa Clara,ATACANTE,POR1,0.36,-1.27,0.72,-0.46,0.2,-2.02,0.01,-1.15,0.52,59,27,68,46,65,8,54,5,65
Alisson Safira,Vitória Guimarães,ATACANTE,POR1,0.85,-0.44,1.02,-0.77,2.78,0.13,1.76,0.29,0.71,73,46,86,32,95,59,89,68,70
P. Musa,Benfica,ATACANTE,POR1,0.78,2.45,0.45,-0.7,-0.4,3.45,1.35,-0.06,0.07,70,89,62,35,49,100,81,51,51
Youssef Chermiti,Everton,ATACANTE,POR1,-0.47,-0.2,-0.59,-0.27,0.86,0.63,0.25,-0.72,0.64,35,57,32,57,73,68,65,30,68
B. Riascos,Gaziantep,ATACANTE,POR1,1.21,3.21,1.31,2.99,-0.49,3.22,-1.45,1.55,-0.83,84,97,92,95,43,97,16,97,35
Pablo,Famalicão,ATACANTE,POR1,1.91,5.06,0.15,-1.37,1.11,-1.55,-1.66,1.21,-1.1,95,100,54,16,78,22,14,89,27
Cristo González,Arouca,ATACANTE,POR1,2.11,-1.03,2.03,-0.48,-1.18,0.1,-0.14,0.42,-0.29,97,32,95,43,24,57,43,76,43
Matheus Babi,Goiás,ATACANTE,POR1,1.35,2.95,0.24,-0.53,-0.02,-0.13,0.06,-0.69,0.85,86,92,57,41,57,54,59,32,73
Y. González,Fluminense,ATACANTE,POR1,0.98,1.31,0.69,-1.79,-0.78,0.79,-3.89,-0.01,-4.12,78,81,65,11,32,73,3,57,3
Felippe Cardoso,Casa Pia AC,ATACANTE,POR1,-1.34,-0.3,-1.55,-0.36,-1.02,-1.27,0.46,0.96,1.04,22,49,14,49,27,30,70,86,84
Rildo Filho,Portimonense,ATACANTE,POR1,0.77,1.93,-1.39,-0.88,-2.59,0.17,-2.46,0.35,-1.87,68,86,16,24,5,62,5,70,8
V. Gyökeres,Sporting CP,ATACANTE,POR1,1.84,-1.44,2.32,5.0,-0.5,1.46,1.87,3.67,-0.16,92,22,100,100,41,81,92,100,46
Evanilson,Porto,ATACANTE,POR1,-0.25,-1.81,1.29,1.44,-0.74,1.59,-0.38,0.24,-0.87,46,16,89,86,38,84,35,65,30
André Luis,Moreirense,ATACANTE,POR1,-0.08,1.45,0.87,1.07,4.14,-1.22,-0.16,-1.6,-1.35,54,84,81,84,100,32,41,3,24
Alejandro Marqués,Estoril,ATACANTE,POR1,-2.22,-0.79,-2.52,-1.49,-0.74,-1.94,2.63,-0.96,1.57,3,38,3,14,35,11,97,11,86
Toni Martínez,Porto,ATACANTE,POR1,-1.11,-2.16,-0.14,0.06,1.79,3.04,-0.22,-0.91,-0.54,30,8,46,65,92,95,38,16,41
S. Essende,Vizela,ATACANTE,POR1,-1.34,-2.14,-0.29,0.41,1.16,-2.06,0.0,0.6,-0.65,19,11,43,68,81,5,51,78,38
L. Ruiz,Rio Ave,ATACANTE,POR1,0.48,-0.25,-0.04,-2.57,-0.46,-2.08,0.06,-0.8,0.08,62,51,49,3,46,3,62,24,54
Welinton Júnior,Gangwon,ATACANTE,POR1,-0.35,-1.56,0.0,1.61,-2.08,-1.3,-1.91,0.8,-1.97,41,19,51,92,8,27,8,84,5
Juninho,Qarabag,ATACANTE,POR1,-1.22,0.05,-0.99,-0.33,0.04,-1.66,-0.84,-0.54,-1.37,24,62,22,54,62,19,24,38,22
André Pereira,Rio Ave,ATACANTE,POR1,2.91,3.17,0.83,-1.2,0.61,1.27,-1.73,1.28,-1.68,100,95,76,19,70,76,11,92,16
Paulinho,Sporting CP,ATACANTE,POR1,0.19,-0.21,0.96,0.97,1.71,1.31,1.37,-0.51,0.49,57,54,84,78,89,78,84,43,62
Gonçalo Ramos,PSG,ATACANTE,POR1,0.88,0.54,0.85,-0.34,0.42,0.72,0.51,0.4,0.44,76,73,78,51,68,70,73,73,59
Clayton,Casa Pia AC,ATACANTE,POR1,-0.15,-0.49,-0.8,-1.19,1.05,-1.8,-1.31,0.67,-1.49,51,41,27,22,76,14,19,81,19
Cassiano,Estoril,ATACANTE,POR1,-1.55,1.15,-2.23,-2.0,-1.22,-0.37,0.0,-0.61,1.02,14,78,5,8,19,49,49,35,78
Héctor Hernández,Chaves,ATACANTE,POR1,-1.73,-1.32,-0.83,-2.12,1.51,-1.18,1.53,-1.08,2.98,8,24,24,5,84,35,86,8,97
M. Osmajić,Preston North End,ATACANTE,POR1,-1.81,-2.47,-0.59,3.04,-1.31,-1.33,0.61,-0.81,1.03,5,5,35,97,16,24,78,22,81
R. Boženík,Boavista,ATACANTE,POR1,-1.72,-2.03,-1.6,-0.62,-1.6,-1.08,0.05,-0.91,0.87,11,14,11,38,14,38,57,14,76
André Vidigal,Stoke City,ATACANTE,POR1,0.53,0.04,-0.49,1.46,-1.94,-0.41,-0.73,1.49,-0.85,65,59,38,89,11,46,27,95,32
Y. Njie,Al Markhiya,ATACANTE,POR1,-0.2,0.08,-0.34,-0.2,-0.02,-0.63,0.4,0.23,1.59,49,65,41,59,59,43,68,62,89
S. Banza,Sporting Braga,ATACANTE,POR1,-0.31,-0.83,0.31,-0.01,1.53,1.9,3.3,-0.51,4.39,43,35,59,62,86,86,100,41,100
J. Cádiz,Famalicão,ATACANTE,POR1,-0.9,-2.91,0.81,0.75,3.7,-0.3,-0.47,-0.75,-0.07,32,3,70,73,97,51,32,27,49
Rafa Mújica,Arouca,ATACANTE,POR1,-1.22,0.49,-1.12,0.86,-0.86,-1.79,-0.03,-0.4,0.43,27,70,19,76,30,16,46,46,57
Abel Ruiz,Sporting Braga,ATACANTE,POR1,-0.45,-1.04,-0.63,-0.81,-2.73,3.0,-0.48,-0.39,-1.72,38,30,30,27,3,92,30,49,11
Fran Navarro,Porto,ATACANTE,POR1,-1.46,-0.46,-1.65,-0.77,-1.21,-0.96,0.53,-0.88,2.08,16,43,8,30,22,41,76,19,95
M. Taremi,Porto,ATACANTE,POR1,1.75,0.99,2.14,1.03,-0.38,2.05,2.2,-0.02,1.84,89,76,97,81,51,89,95,54,92
André Silva,Vitória Guimarães,ATACANTE,POR1,0.98,0.29,0.82,0.57,-0.37,0.28,-1.09,0.18,-1.7,81,68,73,70,54,65,22,59,14
João Paredes,Feirense,ATACANTE,POR2,-1.85,-2.63,-1.46,-1.23,0.7,-2.79,-0.98,-1.08,-0.52,11,8,16,26,68,3,26,8,39
Ricardo Schutte,UD Oliveirense,ATACANTE,POR2,1.04,0.79,0.5,0.36,-0.22,0.46,0.62,3.06,-0.29,82,71,66,63,50,68,66,100,42
Welthon,Torreense,ATACANTE,POR2,-2.01,-1.74,-2.22,-1.44,-0.01,-1.0,2.52,-0.22,3.91,5,18,3,24,55,26,100,53,100
J. Ramírez,Nacional,ATACANTE,POR2,-0.93,-2.55,-1.33,-2.15,-0.65,-0.19,1.2,-0.67,0.94,32,11,18,3,39,50,74,37,68
Adílio Santos,Penafiel,ATACANTE,POR2,0.95,2.04,-0.85,-1.07,0.03,-0.96,0.36,-0.06,0.27,79,84,32,32,58,29,61,58,55
Kikas,Estrela Amadora,ATACANTE,POR2,0.4,1.6,-0.11,-1.55,-0.74,-2.2,-0.7,-0.76,-0.15,58,79,50,18,32,8,34,32,47
Wesley Tanque,Qingdao West Coast,ATACANTE,POR2,-1.55,-0.48,-1.53,-1.79,1.68,0.83,-0.53,-0.86,-1.47,18,42,13,11,89,76,39,18,18
Ronaldo Tavares,Estrela Amadora,ATACANTE,POR2,1.45,1.78,1.78,3.06,1.8,3.6,1.36,1.9,1.25,89,82,92,95,95,97,82,95,82
B. Sangaré,AVS ,ATACANTE,POR2,0.57,0.81,0.0,0.71,-1.81,-0.26,-1.5,0.7,-1.25,66,74,53,76,11,47,18,79,29
Jair Silva,União de Leiria,ATACANTE,POR2,0.46,-0.11,1.29,3.64,-0.07,0.98,-1.57,0.67,-1.47,63,50,87,100,53,82,11,76,21
A. Carter,UD Oliveirense,ATACANTE,POR2,-1.97,-1.26,-1.22,-1.51,-0.43,0.49,1.5,-0.73,1.05,8,32,21,21,45,71,87,34,76
Harramiz,Vilaverdense,ATACANTE,POR2,0.7,3.18,0.29,-0.79,-0.67,-1.07,-1.56,-0.85,-1.21,68,97,58,39,37,24,13,21,32
Jardel,Vizela,ATACANTE,POR2,-0.3,-2.77,1.59,3.26,0.63,1.03,-1.19,1.32,-1.3,45,3,89,97,66,84,24,89,26
Adriano Amorim,Leixões,ATACANTE,POR2,0.82,-0.48,-0.35,0.03,-2.32,0.1,-2.31,0.6,-2.42,76,39,45,58,3,61,8,74,13
André Luis,Moreirense,ATACANTE,POR2,0.42,-1.46,1.28,-0.3,1.75,-0.01,2.01,-1.15,3.27,61,26,84,47,92,55,89,3,97
Edi Semedo,Radomiak Radom,ATACANTE,POR2,1.72,2.48,1.03,2.93,3.03,1.34,-2.76,1.96,-2.67,92,92,82,92,100,87,5,97,5
Pachu,Turan-T,ATACANTE,POR2,1.27,2.65,0.6,0.73,1.43,-0.36,0.75,0.74,1.05,87,95,68,79,82,45,68,82,74
W. Aponzá,Chungnam Asan,ATACANTE,POR2,-0.78,0.58,-1.18,-1.96,0.52,-2.48,2.45,-1.02,2.73,37,66,24,5,63,5,97,13,95
Pedro Henrique,Radomiak Radom,ATACANTE,POR2,0.25,-1.49,0.48,0.03,1.32,0.6,0.26,-0.84,0.62,53,24,63,55,79,74,55,29,63
Michel,Sport Recife,ATACANTE,POR2,3.65,3.63,3.56,1.44,0.79,3.08,2.07,0.81,0.7,100,100,100,87,71,95,92,87,66
Pedro Lucas,Olimpija,ATACANTE,POR2,-0.48,0.01,0.75,0.39,1.52,-1.31,-0.9,-1.05,-1.75,42,53,76,66,87,18,29,11,16
Agostinho,Leixões,ATACANTE,POR2,0.8,-1.83,0.45,1.04,0.48,0.18,-1.39,0.76,-1.43,74,16,61,82,61,63,21,84,24
Zé Manuel,Rio Ave,ATACANTE,POR2,-1.71,-0.14,-1.03,-1.92,1.17,-0.67,0.13,-1.13,0.42,13,47,26,8,76,37,53,5,58
João Marcos,Santa Clara,ATACANTE,POR2,-1.29,-1.68,-1.53,-1.68,-1.18,-1.87,0.62,-0.54,1.07,24,21,11,13,24,13,63,42,79
Diogo Almeida,Mafra,ATACANTE,POR2,-1.68,-2.28,-0.58,0.57,-0.71,0.88,-0.33,-0.84,-0.22,16,13,37,74,34,79,42,26,45
Platiny,Marítimo,ATACANTE,POR2,-1.0,0.53,-1.62,-0.47,-1.3,-0.52,1.11,-0.28,1.01,29,63,8,42,18,39,71,50,71
Ricardo Valente,Leixões,ATACANTE,POR2,0.09,-1.35,-0.21,-1.05,-0.84,-0.89,0.27,0.13,0.61,50,29,47,34,26,32,58,63,61
Gilson Benchimol,Benfica II,ATACANTE,POR2,-0.2,0.1,-0.43,0.04,-1.25,-1.16,-0.25,0.01,-0.07,47,58,42,61,21,21,45,61,50
Patrick,Torreense,ATACANTE,POR2,0.78,2.37,0.69,-0.31,1.47,-0.78,-0.25,-0.52,-0.7,71,87,74,45,84,34,47,45,37
Duarte Duarte,UD Oliveirense,ATACANTE,POR2,2.23,2.41,0.76,0.43,-2.02,1.91,-0.58,0.57,-2.44,95,89,79,68,8,92,37,71,11
Dudu,Nacional,ATACANTE,POR2,-0.82,0.68,-0.76,-0.06,-1.63,0.29,-0.86,0.24,-0.85,34,68,34,50,13,66,32,66,34
Daniel dos Anjos,Tondela,ATACANTE,POR2,0.38,0.1,0.68,0.02,0.9,-1.42,0.0,-0.37,0.24,55,55,71,53,74,16,50,47,53
S. Fatai,Alashkert,ATACANTE,POR2,2.68,1.37,1.94,2.51,-1.4,0.0,-4.37,1.67,-4.12,97,76,97,89,16,58,3,92,3
O. Ochowechi,Feirense,ATACANTE,POR2,-0.49,-0.83,0.22,0.45,-2.24,1.85,-1.51,-0.14,-2.51,39,37,55,71,5,89,16,55,8
Roberto,Tondela,ATACANTE,POR2,-1.53,-2.71,-0.58,-0.89,1.92,-0.12,1.5,-0.89,1.37,21,5,39,37,97,53,84,16,84
Wendel,Porto II,ATACANTE,POR2,1.15,-0.45,1.91,1.3,-0.51,4.7,2.21,0.31,1.87,84,45,95,84,42,100,95,68,87
Nenê,AVS ,ATACANTE,POR2,-1.1,0.36,-0.92,-1.2,-0.35,-0.38,1.23,-0.85,2.04,26,61,29,29,47,42,76,24,89
Andre Clóvis,Academico Viseu,ATACANTE,POR2,-2.13,-1.21,-1.9,-1.6,-0.77,-1.9,1.34,-0.61,2.4,3,34,5,16,29,11,79,39,92
Zé Turbo,Nizhny Novgorod,ATACANTE,QAT,-1.53,-0.45,-1.53,-0.08,-1.33,-1.96,-0.06,0.36,0.97,8,50,17,50,29,12,54,71,71
Jassim Al Jalabi,Qatar SC,ATACANTE,QAT,-0.44,3.32,-2.0,-1.35,-2.1,-1.46,-2.22,-1.22,-1.36,42,96,4,8,4,21,8,12,25
I. Belfodil,Sabah,ATACANTE,QAT,0.02,-2.17,1.79,1.37,0.53,1.82,-1.33,1.62,-2.0,67,8,100,92,62,92,21,92,8
D. Alibec,Muaither,ATACANTE,QAT,0.53,-0.82,0.22,1.37,-2.09,0.29,-1.22,0.97,-1.94,75,42,54,88,8,67,25,83,12
Róger Guedes,Al Rayyan,ATACANTE,QAT,0.69,-2.32,1.18,1.72,-1.43,-0.08,1.61,-0.03,-0.46,79,4,83,96,25,46,88,54,42
Ricardo Gomes,Al Shamal,ATACANTE,QAT,-1.51,-0.54,-1.12,-1.28,-0.31,-1.11,0.39,0.51,1.4,12,46,21,12,46,25,58,75,83
I. Khafi,Ittihad Tanger,ATACANTE,QAT,-0.25,0.38,-1.03,-1.24,-0.5,0.19,-2.06,-0.17,-2.63,58,62,25,17,38,62,12,50,4
Y. Njie,Al Markhiya,ATACANTE,QAT,-1.25,-0.82,-1.88,-0.74,0.08,-2.47,-1.19,-0.3,-1.1,17,38,8,33,50,4,29,42,33
O. Tannane,Umm Salal,ATACANTE,QAT,4.4,1.94,1.52,0.01,-2.04,0.55,-0.27,2.29,1.28,100,88,96,58,12,79,42,100,79
Ahmed Alaa,Al Gharafa,ATACANTE,QAT,-0.5,0.41,0.81,2.07,1.38,0.11,-0.15,0.08,-0.56,38,67,79,100,92,50,46,62,38
A. Delort,Umm Salal,ATACANTE,QAT,-0.93,1.62,-1.75,-2.88,0.92,0.44,1.69,-1.52,2.36,33,79,12,4,75,75,92,4,92
Sebastián Soria,Qatar SC,ATACANTE,QAT,-0.35,-1.73,-0.34,-1.15,2.67,0.58,-0.99,-1.01,-1.89,46,21,38,25,96,83,33,21,21
B. Malango,Qatar SC,ATACANTE,QAT,-0.32,-1.41,0.46,-0.83,3.89,-2.44,0.86,-0.64,0.76,50,33,62,29,100,8,67,33,67
Yusuf Abdurisag,Al Sadd,ATACANTE,QAT,2.92,4.63,0.71,0.36,-1.88,3.78,1.53,0.54,0.54,96,100,75,62,21,96,83,79,62
C. Strandberg,Hatayspor,ATACANTE,QAT,-0.29,0.55,0.55,1.33,1.04,-0.66,1.07,-0.39,0.13,54,75,67,83,79,33,79,38,54
Y. Bammou,Ajaccio,ATACANTE,QAT,1.02,1.62,1.48,-0.05,0.3,-1.8,-2.37,-1.23,-1.92,83,83,92,54,58,17,4,8,17
B. Bounedjah,Al Sadd,ATACANTE,QAT,1.19,0.45,1.3,0.77,-0.4,4.16,0.92,-0.23,0.24,92,71,88,75,42,100,71,46,58
S. Yansane,Al Ahli,ATACANTE,QAT,0.01,0.09,-0.38,0.48,0.1,-0.78,-0.12,-0.01,-0.41,62,58,33,67,54,29,50,58,46
Gelson Dala,Al Wakrah,ATACANTE,QAT,0.5,-0.31,-0.26,0.67,-1.88,1.02,-0.56,1.76,-0.04,71,54,42,71,17,88,38,96,50
M. Olunga,Al Duhail,ATACANTE,QAT,-1.62,-2.14,0.32,-0.08,0.71,-0.2,2.18,-1.04,2.64,4,12,58,46,67,42,100,17,100
Yazan Al Naimat,Al Ahli,ATACANTE,QAT,1.13,2.51,0.1,1.04,-0.97,0.42,-1.37,1.29,-1.3,88,92,50,79,33,71,17,88,29
Y. Boli,Al Gharafa,ATACANTE,QAT,-1.18,-1.42,0.6,-0.13,1.34,-0.63,2.11,-0.9,2.64,25,29,71,42,88,38,96,25,96
Omar Al Somah,Al Arabi,ATACANTE,QAT,-1.02,-1.83,-0.05,-0.17,1.1,0.11,1.06,0.17,1.57,29,17,46,38,83,54,75,67,88
M. Benyettou,Al Wakrah,ATACANTE,QAT,-1.23,-1.54,-0.71,-1.23,0.88,0.12,0.48,-0.89,1.08,21,25,29,21,71,58,62,29,75
G. Agalarov,Akhmat Grozny,ATACANTE,RUS,-1.28,-0.56,-1.3,-0.29,-1.34,-0.54,1.57,0.44,2.2,13,43,13,47,27,40,87,67,90
T. Musaev,Baltika,ATACANTE,RUS,-0.11,0.64,-0.71,0.18,1.38,-2.44,-0.68,0.71,-2.56,60,73,30,60,83,7,33,77,10
L. Djordjević,Sochi,ATACANTE,RUS,-1.03,-2.01,0.52,1.58,-0.98,3.27,1.23,-0.28,0.7,23,13,73,97,33,97,77,40,67
Guilherme Schettine,Ural,ATACANTE,RUS,-0.59,-0.9,-0.32,-1.18,3.35,-1.44,-2.44,-0.4,-1.98,30,33,47,17,100,20,10,33,17
V. Obukhov,Orenburg,ATACANTE,RUS,-1.48,-1.95,-1.12,-1.7,0.23,-2.26,0.98,-1.61,1.4,7,17,17,7,53,10,70,7,77
V. Pisarskiy,Krylya Sovetov,ATACANTE,RUS,-0.28,0.19,-0.71,-0.42,1.52,0.08,-0.21,1.58,-0.28,47,63,27,40,87,60,47,97,40
G. Melkadze,Sochi,ATACANTE,RUS,-0.25,0.12,-0.5,1.03,-1.75,-1.2,-2.73,1.41,-3.03,50,60,40,77,17,23,3,90,3
V. Shitov,Krylya Sovetov,ATACANTE,RUS,2.13,5.24,-0.96,0.47,-2.24,1.14,-1.27,1.25,-1.66,97,100,20,70,7,83,27,87,23
I. Sergeev,Zenit,ATACANTE,RUS,-1.1,-1.0,-1.78,-2.02,-1.83,-0.38,3.11,-1.79,3.58,20,27,3,3,13,43,100,3,100
A. Rahmanović,Krylya Sovetov,ATACANTE,RUS,2.13,1.63,0.4,-1.51,0.96,0.04,-1.46,-0.25,-0.86,93,90,60,10,70,57,23,43,33
G. Guzina,Baltika,ATACANTE,RUS,1.32,1.52,0.7,0.26,1.89,-1.04,-1.72,-1.26,-1.56,87,83,83,63,90,30,20,17,27
A. Kashtanov,Ural,ATACANTE,RUS,-0.58,-0.42,0.49,0.66,0.34,-0.22,-0.98,0.19,-1.82,37,53,70,73,60,47,30,57,20
M. Daku,Rubin Kazan',ATACANTE,RUS,-0.5,0.26,-0.68,0.41,0.36,-0.09,-2.25,0.85,-1.02,40,67,33,67,63,50,13,80,30
T. Suleymanov,Lokomotiv Moskva,ATACANTE,RUS,0.55,1.25,0.43,1.4,-0.86,-1.05,0.47,-0.04,1.43,73,77,63,87,37,27,57,50,80
E. Golenkov,Rostov,ATACANTE,RUS,-0.59,-2.44,0.67,-0.89,2.15,0.32,1.56,-0.97,0.63,33,7,77,33,97,67,83,23,60
E. Sevikyan,Nizhny Novgorod,ATACANTE,RUS,1.09,1.55,-1.52,1.33,-2.83,-2.46,0.48,1.91,-0.79,83,87,10,80,3,3,60,100,37
E. Markov,Fakel,ATACANTE,RUS,1.01,1.97,0.29,-0.29,-0.04,-1.45,-0.55,-0.14,0.82,80,93,57,43,50,17,43,47,70
N. Komlichenko,Rostov,ATACANTE,RUS,-0.24,0.09,0.73,-1.0,1.19,-0.64,-0.65,-0.84,-0.08,53,57,87,30,73,37,37,27,47
F. Smolov,Dinamo Moskva,ATACANTE,RUS,1.99,0.49,1.64,1.49,-1.4,1.21,0.28,0.5,0.33,90,70,93,90,23,87,50,73,57
M. Konaté,Akhmat Grozny,ATACANTE,RUS,-0.38,-0.53,-0.18,0.17,-0.12,-1.78,0.85,0.38,1.6,43,50,53,57,47,13,67,63,83
E. Bicfalvi,Ural,ATACANTE,RUS,-0.21,1.33,-0.65,-1.05,-1.29,0.68,-1.97,-0.32,-2.32,57,80,37,27,30,73,17,37,13
D. Vorobjev,Orenburg,ATACANTE,RUS,0.83,4.23,-0.35,0.08,-1.45,-0.03,1.11,0.12,0.99,77,97,43,53,20,53,73,53,73
A. Sobolev,Spartak Moskva,ATACANTE,RUS,0.39,-0.56,0.67,-1.13,0.85,1.37,-0.57,0.46,-0.28,67,40,80,20,67,90,40,70,43
K. Tyukavin,Dinamo Moskva,ATACANTE,RUS,-2.48,-1.69,-1.56,-1.39,-0.29,0.61,1.99,-1.11,2.38,3,20,7,13,43,70,93,20,93
M. Cassierra,Zenit,ATACANTE,RUS,-1.19,-2.6,-0.21,-1.11,0.31,0.12,2.21,-0.61,0.65,17,3,50,23,57,63,97,30,63
A. Zabolotny,CSKA Moskva,ATACANTE,RUS,0.47,-0.98,2.16,1.4,2.03,-0.75,0.62,-1.45,-0.04,70,30,97,83,93,33,63,10,50
K. Appaev,Fakel,ATACANTE,RUS,-0.69,-0.89,0.48,1.52,1.2,0.88,-2.53,1.0,-2.97,27,37,67,93,77,80,7,83,7
A. Dzyuba,Lokomotiv Moskva,ATACANTE,RUS,0.26,-0.55,1.06,-0.48,1.33,2.73,1.39,-1.4,1.7,63,47,90,37,80,93,80,13,87
Q. Promes,Spartak Moskva,ATACANTE,RUS,2.19,-2.3,3.17,2.6,-1.91,4.59,0.29,1.42,0.02,100,10,100,100,10,100,53,93,53
J. Córdoba,Krasnodar,ATACANTE,RUS,-1.4,-1.13,-0.86,-0.1,-0.78,0.7,1.86,0.28,2.81,10,23,23,50,40,77,90,60,97
H. Diallo,Al Shabab,ATACANTE,SAUD,-2.04,-1.71,-1.39,-0.24,1.29,-1.7,-0.33,-0.63,1.07,13,16,18,45,79,16,42,34,74
Abdullah Al-Salem,Al Khaleej,ATACANTE,SAUD,-0.89,1.04,-0.48,-1.0,-0.42,-0.45,-3.76,-0.75,-3.01,34,79,39,32,47,53,3,26,5
João Pedro,Al Taawon,ATACANTE,SAUD,-0.46,-0.71,-0.3,-2.94,1.47,-2.22,1.34,-0.82,3.16,47,39,47,3,84,5,84,13,97
Mohammed Al Thani,Al Hazem,ATACANTE,SAUD,2.76,6.4,1.22,2.04,-0.8,-1.39,-0.65,0.29,-0.02,92,100,87,92,39,26,32,68,55
Juanmi,Al Riyadh,ATACANTE,SAUD,0.96,1.35,0.07,0.87,-1.81,-0.66,-2.32,-0.63,-0.95,79,84,55,79,16,45,5,32,34
Roberto Firmino,Al Ahli,ATACANTE,SAUD,0.29,1.27,-0.38,-1.79,0.37,-0.23,0.28,-0.76,0.6,66,82,45,11,66,55,55,24,66
F. Caicedo,Abha,ATACANTE,SAUD,0.45,0.41,0.52,0.8,-0.69,-1.49,-2.05,1.05,-2.03,68,68,71,76,45,18,11,89,11
Ahmad Abdu,Abha,ATACANTE,SAUD,-0.35,0.88,-1.05,-1.24,-0.81,-1.11,-2.31,-0.37,-1.58,50,76,29,26,37,29,8,53,18
M. Badamosi,Al Hazem,ATACANTE,SAUD,-1.08,-0.04,-0.51,0.16,0.4,-1.41,-0.42,-0.47,-1.21,24,53,37,58,68,24,37,42,29
K. Toko Ekambi,Abha,ATACANTE,SAUD,-0.51,-1.58,0.49,1.39,-1.12,-1.43,0.3,-0.23,0.43,45,24,66,84,26,21,58,55,61
